DateSRKey,Date,DateKey,Year,Quarter,Month,MonthName,WeekOfYear,Day,DayName,YearMonth
1,2008-01-01,20080101,2008,1,1,January,1,1,Tuesday,2008-01
2,2008-01-02,20080102,2008,1,1,January,1,2,Wednesday,2008-01
3,2008-01-03,20080103,2008,1,1,January,1,3,Thursday,2008-01
4,2008-01-04,20080104,2008,1,1,January,1,4,Friday,2008-01
5,2008-01-05,20080105,2008,1,1,January,1,5,Saturday,2008-01
6,2008-01-06,20080106,2008,1,1,January,1,6,Sunday,2008-01
7,2008-01-07,20080107,2008,1,1,January,2,7,Monday,2008-01
8,2008-01-08,20080108,2008,1,1,January,2,8,Tuesday,2008-01
9,2008-01-09,20080109,2008,1,1,January,2,9,Wednesday,2008-01
10,2008-01-10,20080110,2008,1,1,January,2,10,Thursday,2008-01
11,2008-01-11,20080111,2008,1,1,January,2,11,Friday,2008-01
12,2008-01-12,20080112,2008,1,1,January,2,12,Saturday,2008-01
13,2008-01-13,20080113,2008,1,1,January,2,13,Sunday,2008-01
14,2008-01-14,20080114,2008,1,1,January,3,14,Monday,2008-01
15,2008-01-15,20080115,2008,1,1,January,3,15,Tuesday,2008-01
16,2008-01-16,20080116,2008,1,1,January,3,16,Wednesday,2008-01
17,2008-01-17,20080117,2008,1,1,January,3,17,Thursday,2008-01
18,2008-01-18,20080118,2008,1,1,January,3,18,Friday,2008-01
19,2008-01-19,20080119,2008,1,1,January,3,19,Saturday,2008-01
20,2008-01-20,20080120,2008,1,1,January,3,20,Sunday,2008-01
21,2008-01-21,20080121,2008,1,1,January,4,21,Monday,2008-01
22,2008-01-22,20080122,2008,1,1,January,4,22,Tuesday,2008-01
23,2008-01-23,20080123,2008,1,1,January,4,23,Wednesday,2008-01
24,2008-01-24,20080124,2008,1,1,January,4,24,Thursday,2008-01
25,2008-01-25,20080125,2008,1,1,January,4,25,Friday,2008-01
26,2008-01-26,20080126,2008,1,1,January,4,26,Saturday,2008-01
27,2008-01-27,20080127,2008,1,1,January,4,27,Sunday,2008-01
28,2008-01-28,20080128,2008,1,1,January,5,28,Monday,2008-01
29,2008-01-29,20080129,2008,1,1,January,5,29,Tuesday,2008-01
30,2008-01-30,20080130,2008,1,1,January,5,30,Wednesday,2008-01
31,2008-01-31,20080131,2008,1,1,January,5,31,Thursday,2008-01
32,2008-02-01,20080201,2008,1,2,February,5,1,Friday,2008-02
33,2008-02-02,20080202,2008,1,2,February,5,2,Saturday,2008-02
34,2008-02-03,20080203,2008,1,2,February,5,3,Sunday,2008-02
35,2008-02-04,20080204,2008,1,2,February,6,4,Monday,2008-02
36,2008-02-05,20080205,2008,1,2,February,6,5,Tuesday,2008-02
37,2008-02-06,20080206,2008,1,2,February,6,6,Wednesday,2008-02
38,2008-02-07,20080207,2008,1,2,February,6,7,Thursday,2008-02
39,2008-02-08,20080208,2008,1,2,February,6,8,Friday,2008-02
