ProductSRKey,ProductKey,ProductName,Brand,ColorRaw,Subcategory,Category
1,1,Contoso 512MB MP3 Player E51 Silver,Contoso,MP4&MP3,MP4&MP3,Audio
2,2,Contoso 512MB MP3 Player E51 Blue,Contoso,MP4&MP3,MP4&MP3,Audio
3,3,Contoso 1G MP3 Player E100 White,Contoso,MP4&MP3,MP4&MP3,Audio
4,4,Contoso 2G MP3 Player E200 Silver,Contoso,MP4&MP3,MP4&MP3,Audio
5,5,Contoso 2G MP3 Player E200 Red,Contoso,MP4&MP3,MP4&MP3,Audio
6,6,Contoso 2G MP3 Player E200 Black,Contoso,MP4&MP3,MP4&MP3,Audio
7,7,Contoso 2G MP3 Player E200 Blue,Contoso,MP4&MP3,MP4&MP3,Audio
8,8,Contoso 4G MP3 Player E400 Silver,Contoso,MP4&MP3,MP4&MP3,Audio
9,9,Contoso 4G MP3 Player E400 Black,Contoso,MP4&MP3,MP4&MP3,Audio
10,10,Contoso 4G MP3 Player E400 Green,Contoso,MP4&MP3,MP4&MP3,Audio
11,11,Contoso 4G MP3 Player E400 Orange,Contoso,MP4&MP3,MP4&MP3,Audio
12,12,Contoso 4GB Flash MP3 Player E401 Blue,Contoso,MP4&MP3,MP4&MP3,Audio
13,13,Contoso 4GB Flash MP3 Player E401 Black,Contoso,MP4&MP3,MP4&MP3,Audio
14,14,Contoso 4GB Flash MP3 Player E401 Silver,Contoso,MP4&MP3,MP4&MP3,Audio
15,15,Contoso 4GB Flash MP3 Player E401 White,Contoso,MP4&MP3,MP4&MP3,Audio
16,16,Contoso 8GB Super-Slim MP3/Video Player M800 White,Contoso,MP4&MP3,MP4&MP3,Audio
17,17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,Contoso,MP4&MP3,MP4&MP3,Audio
18,18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,Contoso,MP4&MP3,MP4&MP3,Audio
19,19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Contoso,MP4&MP3,MP4&MP3,Audio
20,20,Contoso 8GB MP3 Player new model M820 Black,Contoso,MP4&MP3,MP4&MP3,Audio
21,21,Contoso 8GB MP3 Player new model M820 Blue,Contoso,MP4&MP3,MP4&MP3,Audio
22,22,Contoso 8GB MP3 Player new model M820 Yellow,Contoso,MP4&MP3,MP4&MP3,Audio
23,23,Contoso 8GB MP3 Player new model M820 White,Contoso,MP4&MP3,MP4&MP3,Audio
24,24,Contoso 16GB Mp5 Player M1600 Blue,Contoso,MP4&MP3,MP4&MP3,Audio
25,25,Contoso 16GB Mp5 Player M1600 Black,Contoso,MP4&MP3,MP4&MP3,Audio
