SalesSRKey,DateSRKey,ProductSRKey,CustomerSRKey,GeographySRKey,Quantity,Net Price,SalesAmount
1,1,2470,8637,279,1,23.7405,23.7405
2,1,1741,2122,44,1,94.7625,94.7625
3,1,1741,2123,196,1,94.7625,94.7625
4,1,1741,2124,284,1,94.7625,94.7625
5,1,1741,2129,82,1,94.7625,94.7625
6,1,1741,2130,69,1,94.7625,94.7625
7,1,1741,2131,274,1,94.7625,94.7625
8,1,1741,2132,255,1,94.7625,94.7625
9,1,1741,2133,74,1,94.7625,94.7625
10,1,1741,2134,276,1,94.7625,94.7625
11,1,1741,2135,262,1,94.7625,94.7625
12,1,1741,2137,47,1,94.7625,94.7625
13,1,1741,2138,81,1,94.7625,94.7625
14,1,1741,2139,286,1,94.7625,94.7625
15,1,1741,2141,48,1,94.7625,94.7625
16,1,2102,7967,45,1,422.75,422.75
17,1,2102,7968,64,1,422.75,422.75
18,1,2102,7970,67,1,422.75,422.75
19,1,195,8167,80,1,284.905,284.905
20,1,195,8168,279,1,284.905,284.905
21,1,195,8169,76,1,284.905,284.905
22,1,195,8170,79,1,284.905,284.905
23,1,195,8171,196,1,284.905,284.905
24,1,195,8173,76,1,284.905,284.905
25,1,190,2618,62,1,569.05,569.05
26,1,190,2619,72,1,569.05,569.05
27,1,190,2620,53,1,569.05,569.05
28,1,190,2621,69,1,569.05,569.05
29,1,190,2622,202,1,569.05,569.05
30,1,190,2623,80,1,569.05,569.05
31,1,190,2625,274,1,569.05,569.05
32,1,1754,6986,87,1,40.85,40.85
33,1,1754,6987,196,1,40.85,40.85
34,1,1754,6988,255,1,40.85,40.85
35,1,1754,6990,45,1,40.85,40.85
36,1,1754,6991,80,1,40.85,40.85
37,1,1644,6156,83,1,16.0455,16.0455
38,1,1644,6157,56,1,16.0455,16.0455
39,1,1644,6158,45,1,16.0455,16.0455
40,1,1644,6159,258,1,16.0455,16.0455
41,1,1644,6384,48,1,16.0455,16.0455
42,1,1644,6385,53,1,16.0455,16.0455
43,1,1644,6452,47,1,16.0455,16.0455
44,1,1644,6453,57,1,16.0455,16.0455
45,1,1644,6458,73,1,16.0455,16.0455
46,1,1644,6459,86,1,16.0455,16.0455
47,1,1644,6466,77,1,16.0455,16.0455
48,1,1644,6479,56,1,16.0455,16.0455
49,1,1644,6480,78,1,16.0455,16.0455
50,1,1644,6485,72,1,16.0455,16.0455
51,1,1644,6805,74,1,16.0455,16.0455
52,1,1644,6806,80,1,16.0455,16.0455
53,1,1644,6867,47,1,16.0455,16.0455
54,1,1644,6869,77,1,16.0455,16.0455
55,1,1644,6870,82,1,16.0455,16.0455
